keyword,category,proposed_title,meta_description,suggested_keywords,article_sections,why_needed,related_existing_terms,related_planned_terms,priority
chip-seal,pavement-maintenance,"Chip Seal Surface Treatment","A chip seal (or chip and spray seal) is a pavement surface treatment consisting of a sprayed asphalt binder layer immediately covered with a single layer of aggregate chips, rolled to embed the chips. It provides a new skid-resistant wearing surface and waterproofs the pavement. Covers design, construction, chip retention, and post-construction FOD risk for airport applications.",chip seal; chip and spray; aggregate seal; bituminous surface treatment; BST; single seal; double seal; chip retention; chip seal FOD; surface dressing,1. Definition and Construction Sequence; 2. Binder Types (emulsion; hot binder; polymer-modified); 3. Aggregate Selection and Application Rate; 4. Single vs Double vs Racked-In Seal; 5. Chip Embedment and Rolling; 6. Loose Chip Period and FOD Risk; 7. Chip Seal in Airport Contexts; 8. Condition Assessment; 9. Performance and Limitations; 10. Comparison with Slurry Seal and Microsurfacing,Surface treatment providing skid resistance — relevant for airport perimeter and service road inspection with FOD considerations.,asphalt; pavement; maintenance; surface-treatment; FOD; skid-resistance,slurry-seal; microsurfacing; seal-coat; fog-seal; raveling; macrotexture; polished-aggregate; grooving,medium
microsurfacing,pavement-maintenance,"Microsurfacing for Pavement Preservation","Microsurfacing is a polymer-modified, cold-mix, quick-setting slurry seal designed for high-traffic roads and airfields, providing a durable surface treatment that restores friction, fills ruts, and seals the pavement. It differs from slurry seal by using polymer-modified emulsion and faster curing. Covers mix design, application, rut filling, and airport use cases.",microsurfacing; polymer-modified slurry; cold-mix overlay; rut filling microsurfacing; quick-set slurry; pavement microsurfacing; high-traffic surface treatment; microsurfacing airport,1. Definition and Distinction from Slurry Seal; 2. Materials (polymer-modified emulsion; crushed aggregate; additives); 3. Mix Design (ISSA A143); 4. Application Equipment (continuous pavers); 5. Rut Filling Capability; 6. Quick Traffic Return; 7. Microsurfacing for Airport Pavements; 8. Condition and Performance Inspection; 9. Service Life and Retreatment Intervals,Advanced preventive maintenance for high-traffic pavements — applicable to airfield service roads and secondary runways.,asphalt; pavement; maintenance; surface-treatment; runway-surface,slurry-seal; chip-seal; fog-seal; crack-sealing; raveling; rutting; preventive-maintenance; pavement-preservation,medium
crack-sealing,pavement-maintenance,"Crack Sealing in Asphalt and Concrete Pavements","Crack sealing is the placement of specialized sealant materials into working cracks (those that exhibit significant annual movement >3 mm) to prevent water and incompressible material infiltration, extending pavement life. Distinct from crack filling, sealing requires routing and reservoir preparation. Covers sealant selection, routing geometry, application, and inspection of sealed crack condition.",crack sealing; crack sealant; working crack seal; crack routing; reservoir cutting; sealant application; pavement crack treatment; crack seal inspection; crack maintenance,1. Definition and Distinction from Crack Filling; 2. When to Seal vs Fill; 3. Crack Preparation (routing; cleaning; drying); 4. Sealant Reservoir Geometry; 5. Sealant Types (hot-pour; silicone; polymer-modified); 6. Application Equipment and Technique; 7. Crack Sealing in Airport Pavements; 8. Condition Assessment of Sealed Cracks; 9. Performance Life; 10. Cost-Effectiveness,Preventive crack treatment — critical for pavement preservation and water infiltration prevention.,crack; asphalt; concrete; pavement; maintenance; runway-surface,crack-filling; hot-pour-sealant; silicone-sealant; joint-sealant; reflective-cracking; preventive-maintenance; fog-seal,high
crack-filling,pavement-maintenance,"Crack Filling in Pavements","Crack filling is the placement of material into non-working cracks (those with <3 mm annual movement) primarily to reduce water infiltration, without the routing and reservoir preparation required for crack sealing. It is a lower-cost, shorter-life treatment. Covers materials, when to fill vs seal, application, and condition assessment.",crack filling; non-working crack; crack fill; asphalt crack fill; pavement crack fill; crack treatment; filler material; cold-pour filler; crack maintenance,1. Definition and Distinction from Crack Sealing; 2. Non-Working Crack Identification; 3. Materials (cold-pour; hot-pour; emulsions); 4. Application without Routing; 5. Performance and Limitations; 6. Crack Filling in Airport Pavements; 7. Condition Assessment; 8. Crack Filling as Temporary vs Long-Term Strategy,Lower-cost crack treatment for non-working cracks — important for inspection-based maintenance recommendations.,crack; asphalt; pavement; maintenance,hot-pour-sealant; crack-sealing; joint-sealant; fog-seal; preventive-maintenance,medium
cold-planing,pavement-maintenance,"Cold Planing (Milling) of Asphalt Pavements","Cold planing, also called milling, is the mechanical removal of asphalt pavement layers to a specified depth and profile using a rotating drum with carbide-tipped teeth. It prepares the surface for an overlay, restores grade and cross-slope, removes distressed material, and produces RAP for recycling. Covers milling depths, surface texture requirements, and inspection of milled surface quality.",cold planing; milling; asphalt milling; pavement milling; cold milling; RAP production; milled surface; milling depth; pavement removal; profile milling,1. Definition and Equipment; 2. Milling Depths (surface; partial-depth; full-depth); 3. Surface Texture After Milling; 4. Grade and Cross-Slope Control; 5. RAP Production and Recycling; 6. Milling Before Overlay; 7. Inspection of Milled Surface; 8. Cold Planing in Airport Pavement Rehabilitation; 9. Micro-Milling for Surface Restoration,Surface preparation method for pavement rehabilitation — relevant for inspection of milled transition areas.,asphalt; pavement; maintenance; rehabilitation; overlay,milling; asphalt-overlay; rehabilitation; reconstruction; reclaimed-asphalt-pavement; cold-in-place-recycling; grooving,medium
asphalt-overlay,pavement-rehabilitation,"Asphalt Overlays for Pavement Rehabilitation","An asphalt overlay is the placement of one or more new HMA layers over an existing pavement to restore structural capacity, improve ride quality, and/or enhance surface characteristics. Overlays are the most common pavement rehabilitation method. Covers overlay design (thickness; mix type; interlayer), pre-overlay repairs (patching; crack sealing; milling), reflective cracking mitigation, and post-overlay inspection.",asphalt overlay; HMA overlay; pavement overlay; structural overlay; functional overlay; mill-and-overlay; overlay design; overlay thickness; pre-overlay repair; pavement rehabilitation,1. Definition and Purpose; 2. Structural vs Functional Overlay; 3. Overlay Thickness Design; 4. Pre-Overlay Repairs (milling; patching; crack sealing; leveling); 5. Interlayer Bonding (tack coat; stress-absorbing membrane interlayer); 6. Reflective Cracking Mitigation; 7. Airport Pavement Overlay Specifications; 8. Overlay Construction Quality Control; 9. Post-Overlay Inspection; 10. Overlay Performance and Life Cycle,Most common pavement rehabilitation method — central to road and runway maintenance decision-making.,asphalt; pavement; overlay; rehabilitation; runway-surface; construction,tack-coat; cold-planing; milling; reflective-cracking; leveling-course; geotextile; rehabilitation; reconstruction; crack-sealing,high
rehab-pavement,pavement-rehabilitation,"Pavement Rehabilitation Strategies and Decision-Making","Pavement rehabilitation encompasses major structural improvements to extend pavement service life beyond routine maintenance. It includes overlays, milling and inlay, in-place recycling, whitetopping, and partial reconstruction. Covers rehabilitation triggers (PCI; IRI; structural capacity), treatment selection logic, lifecycle cost analysis, and airport pavement rehabilitation constraints (limited possession times, nighttime work).",pavement rehabilitation; structural rehabilitation; pavement repair; rehabilitation strategy; rehabilitation trigger; lifecycle analysis; PCI threshold; IRI threshold; airport pavement rehab; pavement decision matrix,1. Definition and Distinction from Maintenance and Reconstruction; 2. Rehabilitation Triggers (condition thresholds; structural testing); 3. Treatment Options Matrix; 4. Decision-Making Framework; 5. Life-Cycle Cost Analysis (LCCA); 6. Airport-Specific Rehabilitation Constraints (possession time; FOD; safety); 7. Rehabilitation Design and Specifications; 8. Post-Rehabilitation Inspection and Monitoring; 9. Performance Prediction,Core maintenance decision context for inspection-driven repair prioritization in TarmacView.,asphalt; concrete; pavement; maintenance; runway-surface; overlay,pci; international-roughness-index; falling-weight-deflectometer; reconstruction; asphalt-overlay; cold-in-place-recycling; full-depth-reclamation; preventive-maintenance; pavement-management-system,high
reconstruction,pavement-rehabilitation,"Pavement Reconstruction","Reconstruction is the complete removal and replacement of a pavement structure from subgrade up, performed when the pavement has reached terminal condition and rehabilitation is no longer cost-effective. Covers full-depth removal, subgrade improvement, new base and surface construction, and the decision point between rehabilitation and reconstruction.",pavement reconstruction; full reconstruction; pavement replacement; full-depth removal; pavement rebuild; subgrade reconstruction; terminal pavement; pavement end-of-life,1. Definition and Distinction from Rehabilitation; 2. When Reconstruction is Warranted (PCI < threshold; structural failure; subgrade failure); 3. Reconstruction Process Stages; 4. Subgrade Improvement and Stabilization; 5. Reconstruction Materials and Specifications; 6. Airport Pavement Reconstruction (phasing; operational constraints); 7. Cost Comparison with Rehabilitation; 8. Post-Reconstruction Performance; 9. Inspection After Reconstruction,End-of-life pavement intervention — the final option in inspection-driven maintenance decision hierarchy.,asphalt; concrete; pavement; rehabilitation; construction; runway-surface,rehabilitation; asphalt-overlay; subgrade; base-course; pci; pavement-condition-index; full-depth-reclamation; pavement-management-system,medium
structural-health-monitoring,structures,"Structural Health Monitoring (SHM) for Bridges and Infrastructure","Structural Health Monitoring (SHM) is the sensor-based, long-term continuous or periodic monitoring of structural condition and performance, providing data to detect damage, assess safety, and plan maintenance. Modern SHM systems integrate accelerometers, strain gauges, displacement sensors, fiber optics, and cameras with AI analysis. Covers SHM architecture, sensor types, data analytics, and integration with inspection workflows.",structural health monitoring; SHM; bridge monitoring; structural monitoring; sensor monitoring; condition monitoring; SHM system; structural safety; damage detection; infrastructure monitoring,1. Definition and Purpose; 2. SHM System Architecture (sensors; data acquisition; transmission; processing; alerts); 3. Sensor Types (accelerometers; strain gauges; displacement; tilt; fiber optics; cameras); 4. Data Analytics and AI for SHM; 5. SHM for Bridges (FHWA LTBP; AASHTO guidance); 6. SHM for Airport Infrastructure; 7. SHM vs Periodic Inspection; 8. Damage Detection Algorithms; 9. Integration with BIM/Digital Twin; 10. Cost-Benefit and Implementation,SHM complements periodic visual inspection — TarmacView drone surveys can feed into SHM data streams.,bridge-deck; inspection; monitoring; sensor; data-acquisition; infrastructure,digital-twin; building-information-modeling; accelerometer; strain-gauge; crack-meter; tiltmeter; fiber-optic-sensor; acoustic-emission; non-destructive-testing; condition-monitoring,high
non-destructive-testing,nd-testing,"Non-Destructive Testing (NDT) for Infrastructure Inspection","Non-Destructive Testing (NDT) encompasses methods to evaluate material properties, detect defects, and assess structural condition without causing damage. For infrastructure inspection, NDT includes ultrasonic testing, impact-echo, ground-penetrating radar, infrared thermography, half-cell potential, rebound hammer, and visual/imaging methods. Covers the full NDT toolbox, method selection by inspection objective, and complementarity with drone-based visual inspection.",NDT; non-destructive testing; non-destructive evaluation; NDE; infrastructure NDT; concrete NDT; bridge NDT; pavement NDT; NDT methods; NDT inspection,1. Definition and Scope; 2. NDT vs Destructive Testing; 3. Visual Inspection as NDT; 4. Surface NDT Methods (rebound hammer; dye penetrant; magnetic particle); 5. Subsurface NDT Methods (ultrasonic; impact-echo; GPR; radiography); 6. Electrochemical NDT (half-cell; resistivity; corrosion rate); 7. Thermal NDT (IR thermography); 8. Selecting NDT Methods by Inspection Objective; 9. NDT and Drone-Based Inspection Complementarity; 10. Standards (ASTM; ACI; AASHTO),Foundation of infrastructure inspection technology — provides context for TarmacView's visual/AI inspection methods.,inspection; monitoring; defect; concrete; asphalt; bridge-deck; pavement,ultrasonic-testing; ground-penetrating-radar; infrared-thermography; impact-echo; half-cell-potential; rebound-hammer; acoustic-emission; visual-inspection; structural-health-monitoring,high
ultrasonic-testing,nd-testing,"Ultrasonic Testing (UT) for Concrete and Steel Structures","Ultrasonic Testing (UT) uses high-frequency sound waves (typically 20 kHz–200 MHz) transmitted into a material to detect internal flaws, measure thickness, and assess material properties. In concrete structures, ultrasonic pulse velocity (UPV) evaluates quality and detects cracks, voids, and delamination. Covers UT principles, equipment, applications for bridge decks and pavements, and comparison with other NDT methods.",ultrasonic testing; UT; ultrasonic pulse velocity; UPV; ultrasound NDT; concrete ultrasonic testing; flaw detection; ultrasonic thickness; pulse-echo; phased array ultrasonic,1. Principles (wave propagation; reflection; transmission; attenuation); 2. Ultrasonic Pulse Velocity (UPV) for Concrete; 3. Pulse-Echo and Phased Array Techniques; 4. Equipment (transducers; couplants; data acquisition); 5. Detecting Concrete Defects (cracks; voids; delamination; honeycombing); 6. Correlating UPV to Concrete Strength and Quality; 7. UT for Steel Bridge Members; 8. Standards (ASTM C597; ACI 228.2R); 9. UT Limitations and Complementarity with Visual Inspection,Volumetric NDT method complementary to surface visual inspections for concrete and steel.,concrete; inspection; defect; bridge-deck; non-destructive-testing; crack,impact-echo; ground-penetrating-radar; infrared-thermography; radiographic-testing; acoustic-emission; half-cell-potential,medium
ground-penetrating-radar,nd-testing,"Ground Penetrating Radar (GPR) for Pavement and Bridge Deck Evaluation","Ground Penetrating Radar (GPR) is a non-destructive electromagnetic method that transmits high-frequency radio waves into a structure and records reflected signals from material boundaries, voids, and embedded objects. For pavements, GPR measures layer thickness, detects voids and moisture. For bridge decks, GPR maps rebar location, concrete cover, and delamination. Covers GPR principles, equipment, data interpretation, and integration with drone-based inspection.",ground penetrating radar; GPR; pavement GPR; bridge deck GPR; GPR survey; GPR layer thickness; GPR rebar detection; GPR delamination; air-coupled GPR; ground-coupled GPR,1. Principles (electromagnetic wave propagation; dielectric contrast; reflection); 2. GPR Equipment (air-coupled horn; ground-coupled; array systems); 3. Pavement Applications (layer thickness; voids; moisture; stripping); 4. Bridge Deck Applications (rebar depth; cover; delamination mapping); 5. GPR Data Processing and Interpretation; 6. GPR Accuracy and Limitations; 7. Vehicle-Mounted and Drone-Mounted GPR; 8. Integration with Visual Inspection; 9. Standards (ASTM D4748; D6087; AASHTO R37),NDT for layer thickness, voids, and rebar mapping — complementary to surface visual inspection.,pavement; bridge-deck; concrete; asphalt; inspection; non-destructive-testing,ultrasonic-testing; impact-echo; infrared-thermography; concrete-cover; cover-meter; delamination; half-cell-potential; falling-weight-deflectometer,medium
infrared-thermography,nd-testing,"Infrared Thermography (IRT) for Bridge Deck and Pavement Inspection","Infrared Thermography (IRT) detects surface temperature variations caused by subsurface defects — delamination, debonding, and voids — that disrupt normal heat flow. It is widely used for rapid bridge deck delamination surveys and can be deployed from vehicles or drones. Covers principles, passive vs active thermography, data interpretation, AI-based analysis, and comparison with chain drag and impact-echo.",infrared thermography; IRT; thermal imaging; passive thermography; active thermography; thermal anomaly; bridge deck thermography; pavement thermography; drone thermography; delamination detection,1. Principles (heat transfer; thermal contrast; solar loading); 2. Passive vs Active Thermography; 3. Equipment (IR cameras; drone-mounted IR; vehicle-mounted); 4. Bridge Deck Delamination Detection; 5. Pavement Debonding and Void Detection; 6. Data Interpretation and Image Processing; 7. AI-Based Thermal Anomaly Detection; 8. Comparison with Chain Drag; Impact-Echo; GPR; 9. Standards (ASTM D4788; AASHTO T); 10. Drone-Based IRT Inspection,NDT for delamination that can be drone-deployed — complements visual inspection with subsurface detection.,bridge-deck; concrete; pavement; inspection; non-destructive-testing; drone; delamination,delamination; spalling; impact-echo; ground-penetrating-radar; acoustic-emission; structural-health-monitoring; thermal-anomaly-detection,medium
impact-echo,nd-testing,"Impact-Echo Testing for Concrete Structures","Impact-Echo is a stress-wave NDT method where a short-duration mechanical impact on a concrete surface generates stress waves that reflect from internal flaws or boundaries. Frequency analysis of the surface response reveals delamination depth, slab thickness, and void presence. Covers principles, equipment, data interpretation, and applications for bridge decks, pavements, and tunnel linings.",impact echo; IE; stress wave; impact-echo testing; concrete impact echo; thickness measurement; delamination depth; void detection; impact-echo bridge deck; impact-echo standard,1. Principles (stress wave generation; P-wave reflection; resonance frequency); 2. Equipment (impact source; transducer; data acquisition); 3. Data Interpretation (frequency domain; thickness mode; flaw detection); 4. Detecting Delamination and Voids; 5. Slab Thickness Measurement; 6. Impact-Echo for Bridge Decks; 7. Impact-Echo vs Ultrasonic Testing; 8. Standards (ASTM C1383); 9. Limitations (thin overlays; complex geometries); 10. AI/Automation in Impact-Echo Analysis,NDT method for delamination depth and thickness — complementary to visual inspection.,concrete; bridge-deck; inspection; non-destructive-testing; delamination,ultrasonic-testing; ground-penetrating-radar; infrared-thermography; chain-drag; hammer-sounding; acoustic-emission; delamination,medium
half-cell-potential,concrete-testing,"Half-Cell Potential Testing for Reinforcement Corrosion","Half-cell potential measurement (ASTM C876) is an electrochemical NDT method that measures the electrical potential of reinforcing steel relative to a reference electrode, indicating the probability of active corrosion. It is the most widely used field method for assessing rebar corrosion in bridge decks and concrete structures. Covers principles, equipment, data interpretation (contour mapping), and limitations.",half-cell potential; HCP; copper-copper sulfate electrode; CSE; ASTM C876; corrosion potential; corrosion probability; potential mapping; rebar corrosion assessment; concrete corrosion test,1. Electrochemical Principles; 2. Equipment (reference electrode; voltmeter; connection to rebar); 3. ASTM C876 Procedure; 4. Potential Interpretation (> -200 mV; -200 to -350 mV; < -350 mV vs CSE); 5. Half-Cell Potential Mapping (contour plots); 6. Relationship to Corrosion Rate; 7. Limitations (concrete resistivity; cover; moisture; temperature); 8. Integration with Other NDT Methods; 9. Application to Bridge Decks and Parking Structures; 10. Airport Concrete Structure Assessment,Standard corrosion assessment method — informs structural defect severity assessment for concrete inspection.,concrete; corrosion; bridge-deck; inspection; non-destructive-testing; rebar,corrosion-rate; concrete-cover; cover-meter; chloride-attack; carbonation; cathodic-protection; delamination; spalling; exposed-rebar,medium
photogrammetry,surveying,"Photogrammetry for Infrastructure Inspection and Mapping","Photogrammetry is the science of deriving 3D measurements and geometric information from overlapping 2D photographs. In infrastructure inspection, drone-based photogrammetry creates orthomosaics, digital surface models, and 3D point clouds of pavements, bridges, and buildings for measurement, change detection, and condition documentation. Covers principles, structure-from-motion, ground control, accuracy, and deliverables.",photogrammetry; aerial photogrammetry; close-range photogrammetry; SfM; structure from motion; drone photogrammetry; orthomosaic; 3D reconstruction; infrastructure photogrammetry; measurement from photos,1. Principles (collinearity; triangulation; bundle adjustment); 2. Structure from Motion (SfM) Workflow; 3. Camera Calibration and Lens Distortion; 4. Ground Control Points (GCPs) and Accuracy; 5. Photogrammetric Deliverables (orthomosaic; DSM; point cloud; mesh); 6. Drone Photogrammetry for Infrastructure; 7. Accuracy Assessment (check points; RMSE); 8. Photogrammetry-Based Measurement (crack width; area; volume); 9. Integration with Inspection Workflows; 10. Software Tools,Foundation method for drone-based inspection — TarmacView uses photogrammetric principles for measurement.,surveying; drone; UAV; GPS; gps-positioning; mapping; inspection,structure-from-motion; orthomosaic; orthophoto; point-cloud; digital-surface-model; lidar; ground-control-point; bundle-adjustment; digital-twin; real-time-kinematic,high
lidar,surveying,"LiDAR Scanning for Infrastructure Inspection","LiDAR (Light Detection And Ranging) is an active remote sensing technology that emits laser pulses and measures return time to create dense, accurate 3D point clouds of surfaces and structures. For infrastructure inspection, LiDAR provides high-resolution geometry — pavement profiles, bridge clearances, structural deformation, and crack depth. Covers LiDAR types, accuracy, point cloud processing, extraction of inspection metrics, and comparison with photogrammetry.",LiDAR; light detection and ranging; laser scanning; mobile LiDAR; terrestrial laser scanning; airborne LiDAR; LiDAR point cloud; LiDAR accuracy; LiDAR pavement; LiDAR bridge,1. Principles (time-of-flight; phase-shift; pulse vs continuous wave); 2. LiDAR Types (airborne; mobile; terrestrial; drone-mounted); 3. Point Cloud Density and Accuracy; 4. Pavement LiDAR Applications (roughness; rutting; texture; cracking); 5. Bridge LiDAR Applications (clearance; deformation; element geometry); 6. Point Cloud Processing (classification; filtering; feature extraction); 7. LiDAR vs Photogrammetry (accuracy; cost; use cases); 8. Integration with Visual Inspection; 9. AI-Based Point Cloud Analysis,3D mapping technology for high-accuracy geometry measurement — complements visual surface inspection.,surveying; inspection; pavement; bridge-deck; runway-surface; mapping,point-cloud; photogrammetry; structure-from-motion; digital-surface-model; digital-terrain-model; mobile-lidar; terrestrial-laser-scanning; orthomosaic; digital-twin,high
point-cloud,surveying,"Point Clouds in Infrastructure Inspection","A point cloud is a set of 3D data points representing the external surface of an object or terrain, typically generated by LiDAR scanning or photogrammetry. In infrastructure inspection, point clouds enable precise measurement of pavement profiles, structural deformation, crack depth, and clearance. Covers point cloud formats, processing, feature extraction, and use in digital twin creation.",point cloud; 3D point cloud; LiDAR point cloud; photogrammetry point cloud; point cloud processing; point cloud classification; point cloud density; point cloud registration; point cloud analysis,1. Definition and Generation Methods; 2. Point Cloud Formats (LAS; LAZ; PLY; E57); 3. Point Cloud Attributes (XYZ; intensity; RGB; classification); 4. Registration and Georeferencing; 5. Classification (ground; building; vegetation; infrastructure); 6. Feature Extraction (cracks; deformation; clearance); 7. Point Cloud Change Detection; 8. Point Cloud to Mesh/BIM/Digital Twin; 9. Software Tools; 10. Point Cloud in Drone Inspection Workflows,3D data product from LiDAR and photogrammetry — feeds into digital twin and measurement analysis.,lidar; photogrammetry; structure-from-motion; digital-twin; building-information-modeling; surveying; inspection,orthomosaic; digital-surface-model; digital-terrain-model; mobile-lidar; terrestrial-laser-scanning,medium
digital-twin,technology,"Digital Twins for Infrastructure Asset Management","A digital twin is a real-time, data-connected virtual representation of a physical asset that synchronizes sensor data, inspection records, and models, enabling simulation, monitoring, and predictive analytics. For infrastructure (bridges, runways, buildings), digital twins integrate drone surveys, NDT data, SHM sensor feeds, and maintenance history into a living digital model. Covers architecture, data integration, use cases, and relation to BIM.",digital twin; infrastructure digital twin; asset digital twin; digital twin platform; real-time digital twin; bridge digital twin; runway digital twin; digital twin inspection; digital twin BIM; predictive twin,1. Definition and Key Characteristics; 2. Digital Twin vs BIM vs GIS; 3. Digital Twin Architecture (physical layer; data layer; model layer; application layer); 4. Data Integration (IoT sensors; drone surveys; inspection records; NDT); 5. Digital Twin for Bridges; 6. Digital Twin for Airports; 7. Real-Time Monitoring and Predictive Analytics; 8. Digital Twin and Drone-Based Inspection; 9. Implementation Challenges; 10. Future Trends,Infrastructure management concept that TarmacView inspection data can feed into as the visual survey data source.,building-information-modeling; industry-foundation-classes; geographic-information-system; asset-information-model; structural-health-monitoring; inspection; technology,point-cloud; lidar; photogrammetry; orthomosaic; condition-monitoring; pavement-management-system; common-data-environment; asset-management,high
building-information-modeling,technology,"Building Information Modeling (BIM) for Infrastructure","Building Information Modeling (BIM) is a digital process for creating and managing information about a built asset across its lifecycle, from design through construction to operation and maintenance. BIM for infrastructure (also called Civil BIM or iBIM) extends to roads, bridges, and airfields. Covers BIM dimensions (3D–7D), IFC standards, integration with inspection data, and BIM-to-digital-twin evolution.",BIM; building information modeling; civil BIM; infrastructure BIM; BIM levels; IFC; BIM dimensions; BIM for bridges; BIM for airports; BIM asset management,1. Definition and BIM Dimensions (3D geometry; 4D time; 5D cost; 6D sustainability; 7D facility management); 2. BIM Maturity Levels (0–3); 3. IFC Open Standard; 4. BIM for Bridge Infrastructure; 5. BIM for Airport Infrastructure; 6. Integrating Inspection Data into BIM; 7. BIM to Digital Twin Evolution; 8. Common Data Environment (CDE); 9. BIM and Drone Surveys; 10. Standards (ISO 19650),Digital process for infrastructure lifecycle management — TarmacView inspection outputs can be consumed into BIM models.,digital-twin; industry-foundation-classes; geographic-information-system; asset-information-model; common-data-environment; construction; technology,point-cloud; orthomosaic; photogrammetry; lidar; asset-management; pavement-management-system,high
foreign-object-debris,aviation,"Foreign Object Debris (FOD) on Airfield Pavements","Foreign Object Debris (FOD) is any object, loose material, or wildlife on an airfield that does not belong there and can cause damage to aircraft, especially jet engines. Sources include pavement raveling, loose aggregate, broken pavement pieces, construction debris, and wildlife. Covers FOD types, detection (manual inspections; automated systems; AI-based camera detection), prevention, and integration with pavement condition management.",foreign object debris; FOD; airfield FOD; runway FOD; FOD detection; FOD prevention; FOD walk; automated FOD detection; FOD damage; pavement FOD,1. Definition and Types of FOD; 2. FOD Sources (pavement deterioration; construction; wildlife; human); 3. Consequences (engine ingestion; tire damage; fuselage impact); 4. FOD Detection Methods (manual walks; vehicle-mounted; fixed cameras; radar; AI); 5. Pavement Condition and FOD Risk; 6. FOD Prevention (pavement maintenance; sweeping; sealing); 7. Automated FOD Detection Systems (Tarsier; FODetect; iFerret); 8. Airport FOD Management Programs; 9. FOD Reporting and Investigation,Direct link between pavement surface quality and airfield safety — raveling and spalling generate FOD.,pavement; runway-surface; runway; taxiway; apron; asphalt; concrete; safety; defect,raveling; spalling; pothole; debris; foreign-object-damage; pavement-management-system; grooving; seal-coat,high
runway-friction-testing,aviation,"Runway Friction Testing and Assessment","Runway friction testing measures the frictional characteristics of runway pavement surfaces using Continuous Friction Measuring Equipment (CFME) at specified speeds and water depths. ICAO mandates regular friction surveys for runways; results are reported as Mu values. Covers CFME types, test procedures, ICAO friction categories, relationship to runway surface condition, and complementarity with visual inspection for texture assessment.",runway friction testing; runway friction measurement; CFME; continuous friction measuring equipment; Mu value; runway friction category; ICAO friction; runway skid resistance; friction survey; runway surface friction,1. Purpose and Safety Significance; 2. CFME Types (Mu-Meter; Skiddometer; GripTester; Runway Friction Tester); 3. Test Procedures (speed; water depth; tire); 4. ICAO Friction Categories (good; medium/ good; medium; medium/poor; poor); 5. ICAO Friction Measurement Requirements; 6. Runway Condition Assessment Matrix (RCAM); 7. Friction and Surface Texture Relationship; 8. Rubber Removal and Friction Restoration; 9. Visual Inspection vs Friction Testing; 10. Friction Testing for New and Rehabilitated Runways,Core runway safety measurement — complements TarmacView visual surface quality assessment.,friction; runway-surface; runway; skid-resistance; pavement; safety; inspection,skid-number; grooving; macrotexture; microtexture; surface-texture; hydroplaning; porous-friction-course; polished-aggregate,high
runway-condition-assessment,aviation,"Runway Condition Assessment and Reporting (GRF/RCAM)","Runway Condition Assessment uses the Global Reporting Format (GRF) and Runway Condition Assessment Matrix (RCAM) to evaluate and report runway surface condition, including contaminants (water, snow, ice, slush), and assign a Runway Condition Code (RWYCC) for each third of the runway. Covers ICAO GRF implementation, RCAM methodology, RWYCC determination, and relationship to pavement distress and friction measurement.",runway condition assessment; runway condition report; RCR; GRF; global reporting format; RCAM; runway condition assessment matrix; RWYCC; runway condition code; runway contaminant,1. Purpose and ICAO Global Reporting Format (GRF); 2. Runway Condition Assessment Matrix (RCAM); 3. Runway Condition Code (RWYCC) 0–6; 4. Contaminant Types and Coverage; 5. Assessment Procedure (runway thirds); 6. Relationship to Friction Measurements; 7. Reporting (SNOWTAM; ATIS; NOTAM); 8. Changes from Old RCR System; 9. Visual Assessment vs Instrumented; 10. Role of Surface Distress in Condition Assessment,Operational runway safety assessment protocol — TarmacView visual survey can augment contaminant detection.,runway-surface; runway; friction; safety; inspection; skid-resistance; runway-friction; hydroplaning,runway-friction-testing; foreign-object-debris; grooving; skid-number; pavement-condition-index; pavement-condition,high
superpave,pavement-materials,"Superpave Asphalt Mix Design System","Superpave (SUperior PERforming Asphalt PAVEments) is a performance-based asphalt mix design and analysis system developed under SHRP, replacing or complementing the Marshall method. It uses the Superpave Gyratory Compactor, Performance Grade (PG) binder specification, and volumetric mix design criteria. Covers Superpave levels, PG binder selection, aggregate consensus properties, and airport Superpave specifications.",superpave; superior performing asphalt pavements; SHRP; gyratory compactor; PG binder; performance grade; superpave mix design; superpave levels; VMA; VFA; dust ratio,1. History (SHRP program); 2. Superpave Design Levels (1; 2; 3); 3. Performance Grade (PG) Binder Specification; 4. Aggregate Requirements (consensus properties; source properties); 5. Superpave Gyratory Compactor (SGC); 6. Volumetric Mix Design (VMA; VFA; air voids; dust ratio); 7. Superpave vs Marshall Mix Design; 8. Superpave for Airport Pavements; 9. Quality Control and Acceptance; 10. Performance Testing (APA; IDT; fatigue),Performance-based asphalt mix design — relevant for understanding asphalt pavement material quality in inspection.,asphalt; pavement; construction; pavement-materials,gyratory-compactor; performance-grade; marshall-mix-design; air-voids; voids-in-mineral-aggregate; voids-filled-with-asphalt; dust-to-binder-ratio; asphalt-content; polymer-modified-binder,medium
